Topic,Words,Frequency,Timestamp
10,"обсудить, верховному, диалог, важно, нужно",2,2025-02-08 00:00:00+00:00
11,"катастрофы, инцидент, погибли, пострадали, погиб",1,2025-02-08 00:00:00+00:00
12,"абхазии, выборах, выборы, выборов, президентские",66,2025-02-08 00:00:00+00:00
13,"санкции против, санкции, санкций, политиков, российские",3,2025-02-08 00:00:00+00:00
15,"бразилии, переговорах, конфликта украине, отказалась, оружие",2,2025-02-08 00:00:00+00:00
22,"задержали, задержан, украинскую, украиной, соцсетях",2,2025-02-08 00:00:00+00:00
24,"крыму, крым, крыма, украинских, лет назад",2,2025-02-08 00:00:00+00:00
25,"российским, российское, российского, русским, гражданство",1,2025-02-08 00:00:00+00:00
26,"властей, причем, политиков, снова, очередной",1,2025-02-08 00:00:00+00:00
27,"абхазии, запретил, отставке, отставку, ветеранов",1,2025-02-08 00:00:00+00:00
28,"провокаций, провокации, антироссийских, угроз, готовятся",1,2025-02-08 00:00:00+00:00
29,"родился, день, основатель, февраля, русский",6,2025-02-08 00:00:00+00:00
-1,"переговоры, переговоров, украину, конфликта, разговора",2371,2025-03-10 00:00:00+00:00
0,"переговоры, переговоров, переговорах, украину, урегулирования",1414,2025-03-10 00:00:00+00:00
1,"вооруженных, вооруженные, вооруженные силы, боевиков, властями",7,2025-03-10 00:00:00+00:00
2,"следствием, обвинения, президентский, итог, грузии",3,2025-03-10 00:00:00+00:00
3,"речь идет, конституционный, официально, сообщается, последнее время",7,2025-03-10 00:00:00+00:00
4,"партию, выборах, выборы, политическое, партия",22,2025-03-10 00:00:00+00:00
5,"лидера, большинство, мнение, уверены, выборы",3,2025-03-10 00:00:00+00:00
6,"сценарий, мирного, премьера, начинается, готовы",1,2025-03-10 00:00:00+00:00
7,"оппозиции, протестов, задержания, протесты, турции",19,2025-03-10 00:00:00+00:00
8,"военнослужащих, военнослужащие, военным, вооруженных сил, ветераны",14,2025-03-10 00:00:00+00:00
9,"заместителя, подписывайся соловьёва, назначен, помощника, назначил",2,2025-03-10 00:00:00+00:00
10,"военных, верховным, верховного, верховному, армия",1,2025-03-10 00:00:00+00:00
15,"встречу, состоится, бразилии, переговорах, визитом",4,2025-03-10 00:00:00+00:00
17,"министра обороны, министром обороны, министр обороны, обороны, оборонного",1,2025-03-10 00:00:00+00:00
22,"задержали, россияне, ареста, задержан, русских",2,2025-03-10 00:00:00+00:00
24,"крыму, крым, крыма, россию, россией",12,2025-03-10 00:00:00+00:00
26,"протестующих, протестующие, недовольны, протеста, протесты",3,2025-03-10 00:00:00+00:00
28,"угрозы, угроз, против россии, национальные интересы, провокации",4,2025-03-10 00:00:00+00:00
29,"родился, день, марта, 24, русские",2,2025-03-10 00:00:00+00:00
30,"задержан, санкции против, санкции, властей, чиновников",1,2025-03-10 00:00:00+00:00
-1,"переговоры, переговоров, россию, украину, россией",1835,2025-04-09 00:00:00+00:00
0,"дронов, военные, россию, войска, военных",1188,2025-04-09 00:00:00+00:00
1,"выборах, проведут, победил, президентских, вооруженных",2,2025-04-09 00:00:00+00:00
2,"обвинил, конфликта, грузии, осетии, беспорядки",1,2025-04-09 00:00:00+00:00
3,"передали, американцы, южной, поддержать, республику",1,2025-04-09 00:00:00+00:00
4,"долг, франции, реформы, выборах, обещал",1,2025-04-09 00:00:00+00:00
5,"доверие, доверия, большинство, мнение, оценка",1,2025-04-09 00:00:00+00:00
6,"мирным, прекращении, кремле, кремль, прекращение",179,2025-04-09 00:00:00+00:00
8,"обороны, вооруженных сил, великой отечественной, армии, вооруженных",5,2025-04-09 00:00:00+00:00
11,"погибли, погибших, погиб, гибели, катастрофы",1,2025-04-09 00:00:00+00:00
12,"абхазии, задержали, властей, речь идет, политическое",4,2025-04-09 00:00:00+00:00
13,"санкции, санкции против, readovka, санкций, журналистов",1,2025-04-09 00:00:00+00:00
15,"российского лидера, бразилии, переговорах, встречу, отношения",5,2025-04-09 00:00:00+00:00
19,"завершился, переговорах, переговоров, переговоры, часа",8,2025-04-09 00:00:00+00:00
20,"европу, лидеров, политиков, отстаивать, говорит",1,2025-04-09 00:00:00+00:00
21,"подписаться канал, подписывайся, кремля, назначен, назначил",2,2025-04-09 00:00:00+00:00
22,"задержали, задержан, ареста, соцсетях, силовики",2,2025-04-09 00:00:00+00:00
23,"переговоры, израиль, израиля, разговор, телефонный разговор",5,2025-04-09 00:00:00+00:00
24,"крыму, крым, россией, крыма, российским",2,2025-04-09 00:00:00+00:00
28,"учения, готовятся, угрозы, военные, угрозу",9,2025-04-09 00:00:00+00:00
-1,"переговорах, переговоры, санкций, переговоров, разговор",2502,2025-05-09 00:00:00+00:00
0,"переговорах, переговоры, переговоров, украину, украиной",1771,2025-05-09 00:00:00+00:00
1,"силовиков, работают, существует, удалось, держат",3,2025-05-09 00:00:00+00:00
2,"грузии, россию, российского, русскими, россией",1,2025-05-09 00:00:00+00:00
3,"южной, угрожает, предстоит, президентские, политический",4,2025-05-09 00:00:00+00:00
4,"отставку, лидера, франции, кремль, причем",2,2025-05-09 00:00:00+00:00
5,"российского лидера, польши, россиян, президенты, лидера",1,2025-05-09 00:00:00+00:00
6,"завершилось, закончилось, прекращения, официально, кремле",13,2025-05-09 00:00:00+00:00
7,"турции, туре, оппозиции, конфликта, победы",2,2025-05-09 00:00:00+00:00
8,"авиации, вооруженных сил, военного, военных, военно",1,2025-05-09 00:00:00+00:00
9,"назначен, главнокомандующего, указом, указ, совбеза",9,2025-05-09 00:00:00+00:00
10,"майора, верховному, верховным, верховного, бойцов",10,2025-05-09 00:00:00+00:00
12,"абхазии, рассказывает, родина, республике, серьезных",5,2025-05-09 00:00:00+00:00
15,"переговорах, переговоры, переговоров, бразилии, разговор",29,2025-05-09 00:00:00+00:00
16,"крым, крыму, крыма, работает, день",1,2025-05-09 00:00:00+00:00
19,"завершился, покинули, покинул, кремля, кремле",2,2025-05-09 00:00:00+00:00
24,"крыму, крым, крыма, объяснил, власть",2,2025-05-09 00:00:00+00:00
26,"журналист, попытался, лицо, президентских, властей",1,2025-05-09 00:00:00+00:00
28,"свои позиции, флота, флот, угрозы, провокации",7,2025-05-09 00:00:00+00:00
29,"родился, день, 26, мая, основатель",2,2025-05-09 00:00:00+00:00
-1,"переговоров, переговоры, украину, разговор, россию",1620,2025-06-08 00:00:00+00:00
0,"вооружений, израиль, конфликта, израиля, военных",1175,2025-06-08 00:00:00+00:00
1,"властей, боевиков, переговоры, беспорядки, протесты",7,2025-06-08 00:00:00+00:00
2,"грузии, санкции, силовиков, изменений, срок",1,2025-06-08 00:00:00+00:00
3,"учения, сотрудничество, сотрудничества, сотрудничеству, союзниками",2,2025-06-08 00:00:00+00:00
4,"белый дом, политика, вернуть, американских, президентских",1,2025-06-08 00:00:00+00:00
8,"ссср, советского, информацию, пропаганды, секретарь",1,2025-06-08 00:00:00+00:00
12,"туристов, чиновников, абхазии, республику, заявила",3,2025-06-08 00:00:00+00:00
15,"президенты, главы государства, бразилии, думать, обсудить",3,2025-06-08 00:00:00+00:00
17,"министром, решение принято, заместителя, министра, назначения",1,2025-06-08 00:00:00+00:00
18,"обсудили, задержания, разговор, азербайджана, напомнил",1,2025-06-08 00:00:00+00:00
19,"завершился, завершилось, заседание, кремле, кремля",1,2025-06-08 00:00:00+00:00
20,"крыму, чиновников, подумать, потребовали, въезд",1,2025-06-08 00:00:00+00:00
21,"отставке, кремля, адекватные новости, подписывайся, подписал указ",3,2025-06-08 00:00:00+00:00
22,"кремля, кремле, задержали, задержан, терроризма",6,2025-06-08 00:00:00+00:00
23,"переговоры, телефонный разговор, разговор, разговора, обсудить",12,2025-06-08 00:00:00+00:00
24,"россиян, россией, крыму, регионы, состав россии",1,2025-06-08 00:00:00+00:00
29,"родился, июля, день, наук, состоялась",1,2025-06-08 00:00:00+00:00
30,"насилия, чиновников, покушение, серьезно, демократии",2,2025-06-08 00:00:00+00:00
-1,"санкций, россию, украину, пишет, санкции",1593,2025-07-08 00:00:00+00:00
0,"россию, конфликта, войска, украиной, украинских",845,2025-07-08 00:00:00+00:00
1,"властей, боевиков, вооружённых, выборами, власть",4,2025-07-08 00:00:00+00:00
3,"провокации, ядерной, военными, военные, спровоцировать",3,2025-07-08 00:00:00+00:00
4,"дворца, бюджет, дворец, кризиса, париже",1,2025-07-08 00:00:00+00:00
5,"россияне, россиян, доверия, большинства, мнение",4,2025-07-08 00:00:00+00:00
8,"вооруженных сил, военных, войск, ветераны, войска",3,2025-07-08 00:00:00+00:00
15,"бразилии, главы государства, обвиняют, государствами, риторика",6,2025-07-08 00:00:00+00:00
18,"самолета, самолет, азербайджана, россией, близким",3,2025-07-08 00:00:00+00:00
19,"завершился, кремле, кремля, кремль, переговорах",12,2025-07-08 00:00:00+00:00
21,"отставки, отставке, кремля, назначен, назначил",5,2025-07-08 00:00:00+00:00
22,"ареста, задержан, задержали, крыму, крым",2,2025-07-08 00:00:00+00:00
23,"российский лидер, переговоры, премьер министра, телефонный разговор, премьер министр",3,2025-07-08 00:00:00+00:00
25,"гражданство, поблагодарил, получил, россию, российского",10,2025-07-08 00:00:00+00:00
28,"угрозу, флота, провокации, угроз, флот",16,2025-07-08 00:00:00+00:00
29,"родился, 18, день, состоялась, герой",1,2025-07-08 00:00:00+00:00
30,"левых, украину, партии, партий, властей",2,2025-07-08 00:00:00+00:00
-1,"переговорах, переговоры, переговоров, украину, украиной",3677,2025-08-07 00:00:00+00:00
0,"дронов, идут, фронта, переговорах, конфликта",1964,2025-08-07 00:00:00+00:00
1,"боевиков, заявляют, военные, войска, белого дома",17,2025-08-07 00:00:00+00:00
2,"осетии, грузии, война, случилось, войны",3,2025-08-07 00:00:00+00:00
3,"отношениях, диалог, диалога, вмешательства, стратегических",1,2025-08-07 00:00:00+00:00
4,"кризиса, грозит, недовольство, угрозой, протесты",3,2025-08-07 00:00:00+00:00
5,"россияне, россиян, кремля, доверие, доверия",3,2025-08-07 00:00:00+00:00
8,"военнослужащие, военнослужащим, отмечали, отмечают, ветераны",5,2025-08-07 00:00:00+00:00
9,"министра иностранных, заместителя, иностранных дел, назначен, замминистра",1,2025-08-07 00:00:00+00:00
10,"военным, командиров, обеих сторон, верховному, майора",5,2025-08-07 00:00:00+00:00
15,"российский лидер, переговоры, переговоров, телефонный разговор, разговор",12,2025-08-07 00:00:00+00:00
17,"экономику, правительстве, экономике, экономического, экономической",1,2025-08-07 00:00:00+00:00
18,"обвинил, агрессии, нападения, азербайджана, самолета",1,2025-08-07 00:00:00+00:00
19,"завершился, переговорах, переговоров, переговоры, кремле",11,2025-08-07 00:00:00+00:00
20,"уважение, наша страна, правду, правды, известной",2,2025-08-07 00:00:00+00:00
21,"telegram соловьёв, соловьёв telegram, telegram, max соловьёв, кремля",1,2025-08-07 00:00:00+00:00
22,"задержали, задержан, уголовное, ареста, уголовного",2,2025-08-07 00:00:00+00:00
25,"гражданство, рассказывает, россию, историю, днр",6,2025-08-07 00:00:00+00:00
26,"беспорядки, властями, инцидент, протестующие, произошел",4,2025-08-07 00:00:00+00:00
28,"готовности, границы, военные, военное, строительство",1,2025-08-07 00:00:00+00:00
29,"родился, день, основатель, состоялась, истории",2,2025-08-07 00:00:00+00:00
30,"властей, военнослужащие, принимают, военнослужащих, страной",4,2025-08-07 00:00:00+00:00
-1,"говорит, россию, украину, россией, конфликта",1643,2025-09-06 00:00:00+00:00
0,"войска, дронов, обороны, конфликта, войск",925,2025-09-06 00:00:00+00:00
1,"вооруженными, властей, американцы, военные, американских",9,2025-09-06 00:00:00+00:00
2,"протестов, протесты, протеста, протестующих, протестующие",12,2025-09-06 00:00:00+00:00
3,"президентского, произошло, задержан, нью йорке, кортеж",2,2025-09-06 00:00:00+00:00
4,"политического кризиса, протесты, протестов, отставку, протеста",5,2025-09-06 00:00:00+00:00
7,"турции, протестов, протестующих, туре, оппозиции",2,2025-09-06 00:00:00+00:00
8,"отмечают, вооруженных, военнослужащие, праздник, обороны",7,2025-09-06 00:00:00+00:00
10,"майора, верховному, военных, верховным, верховного",3,2025-09-06 00:00:00+00:00
12,"абхазии, рассказывает, истории, писал, историю",1,2025-09-06 00:00:00+00:00
14,"осетии, республику, россией, республике, россию",2,2025-09-06 00:00:00+00:00
15,"переговоры, переговоров, конфликта украине, разговор, обсудить",4,2025-09-06 00:00:00+00:00
18,"самолета, самолет, российские, украинских, украину",1,2025-09-06 00:00:00+00:00
19,"завершилось, завершился, кремле, кремль, кремля",1,2025-09-06 00:00:00+00:00
21,"отставке, кремля, указом, подписал указ, назначен",3,2025-09-06 00:00:00+00:00
22,"задержан, задержали, ареста, крым, терроризма",1,2025-09-06 00:00:00+00:00
26,"властей, принял решение, разрешении, состоятся, пройдут",2,2025-09-06 00:00:00+00:00
28,"спецслужб, теракта, комментируя, мнение, провокации",1,2025-09-06 00:00:00+00:00
29,"родился, день, основатель, наук, сентября",4,2025-09-06 00:00:00+00:00
30,"санкций, призвал, санкции, призывал, лукашенко",1,2025-09-06 00:00:00+00:00
-1,"украину, конфликта, россию, ракеты, санкции",2268,2025-10-06 00:00:00+00:00
0,"дронов, ракеты, войска, военных, обороны",1286,2025-10-06 00:00:00+00:00
1,"переворота, действовать, власть, нападения, военные",28,2025-10-06 00:00:00+00:00
2,"протестов, грузии, протесты, переворота, протеста",1,2025-10-06 00:00:00+00:00
3,"южной, построить, помочь, властью, серьезно",2,2025-10-06 00:00:00+00:00
4,"отставку, отставки, отставке, реформы, политиков",13,2025-10-06 00:00:00+00:00
8,"российской армии, сайт ветераныроссии, специальной военной, спецназа, войска",2,2025-10-06 00:00:00+00:00
10,"военных, майора, фронта, противника, армия",2,2025-10-06 00:00:00+00:00
15,"бразилии, санкций, говорят, кремле, конфликта",1,2025-10-06 00:00:00+00:00
18,"российский лидер, самолета, самолет, инцидент, произошло",41,2025-10-06 00:00:00+00:00
19,"завершился, покинули, часа, минут, час",1,2025-10-06 00:00:00+00:00
21,"назначен, посла, кремля, посол, назначил",1,2025-10-06 00:00:00+00:00
22,"задержан, задержали, ареста, адекватные новости, боевиков",1,2025-10-06 00:00:00+00:00
23,"переговоры, обсудили, российский лидер, разговора, разговор",6,2025-10-06 00:00:00+00:00
25,"гражданство, получил, родине, приехал, российского",1,2025-10-06 00:00:00+00:00
28,"угрозы, угрозу, угроз, провокации, министр обороны",1,2025-10-06 00:00:00+00:00
29,"родился, октября, день, основатель, 17",3,2025-10-06 00:00:00+00:00
30,"украину, говорят, заявляют, потребовали, обвинил",11,2025-10-06 00:00:00+00:00
-1,"переговоры, переговоров, украину, украиной, конфликта",1852,2025-11-05 00:00:00+00:00
0,"переговоров, переговоры, кремля, войска, кремле",1228,2025-11-05 00:00:00+00:00
1,"угрозы, ситуация, военных действий, опасения, военные",29,2025-11-05 00:00:00+00:00
3,"обвинению, обвинения, обвинили, переворот, прокуратура",3,2025-11-05 00:00:00+00:00
8,"военнослужащих, армии, вооруженных, войска, великой отечественной",12,2025-11-05 00:00:00+00:00
9,"министра обороны, заместителя, обороны, назначен, замминистра",11,2025-11-05 00:00:00+00:00
10,"визит, церемонии, верховному, встречи, майора",1,2025-11-05 00:00:00+00:00
13,"санкций, санкции, санкции против, ввели, запрет",2,2025-11-05 00:00:00+00:00
19,"завершился, переговорах, переговоров, покинули, переговоры",10,2025-11-05 00:00:00+00:00
20,"кремля, говорят, диалога, пытаются, русских",1,2025-11-05 00:00:00+00:00
23,"переговоры, обсудили, разговора, разговор, телефонный разговор",3,2025-11-05 00:00:00+00:00
25,"гражданство, поблагодарил, гражданина, гражданами, получил",1,2025-11-05 00:00:00+00:00
28,"военные, учения, военное, военно, используют",1,2025-11-05 00:00:00+00:00
29,"родился, день, ноября, наук, основатель",1,2025-11-05 00:00:00+00:00
30,"протестующие, противники, скандируют, оппозиция, выборах",3,2025-11-05 00:00:00+00:00
-1,"украину, переговоры, переговоров, кремля, украинских",2244,2025-12-05 00:00:00+00:00
0,"кремля, конфликта, россию, дронов, украину",1502,2025-12-05 00:00:00+00:00
1,"переворота, военной операции, переворот, произошло, операцию",101,2025-12-05 00:00:00+00:00
3,"спровоцировать, случилось, речь идет, дронов, обвинили",1,2025-12-05 00:00:00+00:00
4,"долг, кадры, адекватные новости, показывают, политиков",2,2025-12-05 00:00:00+00:00
5,"доверие, доверия, мнение, большинство, оценка",1,2025-12-05 00:00:00+00:00
6,"декабря, украина, россией, просит, украины",7,2025-12-05 00:00:00+00:00
8,"праздник, отмечают, разведки, российской федерации, великой отечественной",5,2025-12-05 00:00:00+00:00
9,"замминистра, заместителя, назначен, заместитель, министра",1,2025-12-05 00:00:00+00:00
10,"военнослужащим, майора, армия, верховного, ребята",19,2025-12-05 00:00:00+00:00
11,"турции, погиб, погибли, инцидент, погибших",1,2025-12-05 00:00:00+00:00
19,"переговорах, переговоры, завершился, переговоров, двух стран",1,2025-12-05 00:00:00+00:00
20,"теракта, журналистов, убийства, террористов, спецслужбы",2,2025-12-05 00:00:00+00:00
23,"отношения, отношений, связь, подчеркнули, переговоры",1,2025-12-05 00:00:00+00:00
29,"декабря, родился, декабре, уходящего, герой",2,2025-12-05 00:00:00+00:00
30,"высказался, серьезно, правительство, говорили, контролировать",2,2025-12-05 00:00:00+00:00
-1,"переговоры, переговоров, конфликта, украину, нужно",1354,2026-01-04 00:00:00+00:00
0,"обороны, конфликта, военных, переговоров, главное",857,2026-01-04 00:00:00+00:00
1,"переворота, переворот, власть, захвата, американцы",181,2026-01-04 00:00:00+00:00
3,"переворота, угрозы, приговор, переворот, требуют",6,2026-01-04 00:00:00+00:00
4,"бюджета, парламенте, отставку, оппозиции, политическое",2,2026-01-04 00:00:00+00:00
8,"военной, войска, вооруженных сил, военного, войск",3,2026-01-04 00:00:00+00:00
11,"погибших, иран, протестов, погибли, гибели",1,2026-01-04 00:00:00+00:00
13,"санкции против, санкции, санкций, запрет, ограничения",2,2026-01-04 00:00:00+00:00
14,"осетии, властями, россией, российское, военное",2,2026-01-04 00:00:00+00:00
15,"переговоров, обсудили, бразилии, телефонный разговор, ситуацию",2,2026-01-04 00:00:00+00:00
16,"крыму, планируется, запретили, крым, крыма",1,2026-01-04 00:00:00+00:00
19,"завершился, переговоров, переговорах, переговоры, покинули",7,2026-01-04 00:00:00+00:00
22,"терроризма, telegram, телеграм, сетях, террористической",1,2026-01-04 00:00:00+00:00
23,"премьер, премьером, премьер министр, разговора, разговор",6,2026-01-04 00:00:00+00:00
24,"крыму, крым, крыма, лет назад, независимости",1,2026-01-04 00:00:00+00:00
28,"флота, судна, кораблей, санкциями, угрозы",3,2026-01-04 00:00:00+00:00
29,"родился, день, основатель, герой, первых",1,2026-01-04 00:00:00+00:00
30,"угрозы, насилия, президентов, ситуация, захватить",11,2026-01-04 00:00:00+00:00
-1,"кремля, переговоры, переговоров, украину, россию",1172,2026-02-03 00:00:00+00:00
0,"конфликта, переговоры, переговоров, войска, военных",836,2026-02-03 00:00:00+00:00
1,"властями, происходящее, властей, американцы, войсками",12,2026-02-03 00:00:00+00:00
3,"переворота, переворот, президентов, южной, ядерного оружия",1,2026-02-03 00:00:00+00:00
9,"назначен, кремля, назначил, министра, назначены",1,2026-02-03 00:00:00+00:00
13,"санкции, санкции против, санкций, список, евросоюз",1,2026-02-03 00:00:00+00:00
15,"бразилии, визита, делегации, визит, обсудить",1,2026-02-03 00:00:00+00:00
21,"назначен, кремля, назначил, министра иностранных, заместителя",3,2026-02-03 00:00:00+00:00
22,"задержали, задержан, гражданство, гражданин, ареста",3,2026-02-03 00:00:00+00:00
23,"переговоры, обсудили, разговор, телефонный разговор, литвы",1,2026-02-03 00:00:00+00:00
24,"крым, крыму, крыма, украинских, началось",2,2026-02-03 00:00:00+00:00
26,"протестующих, протесты, властей, пытается, толпа",1,2026-02-03 00:00:00+00:00
28,"флота, флот, кораблей, ситуацию, действовать",8,2026-02-03 00:00:00+00:00
29,"родился, день, февраля, основатель, русский",6,2026-02-03 00:00:00+00:00
30,"глава государства, убит, борту, возглавил, целью",2,2026-02-03 00:00:00+00:00
-1,"конфликта, переговоры, переговоров, кремля, война",1018,2026-03-05 00:00:00+00:00
0,"россию, кремля, россией, главное, сказал",831,2026-03-05 00:00:00+00:00
1,"переговоры, власть, переговоров, оппозиции, президенты",13,2026-03-05 00:00:00+00:00
3,"официально, врагом, объявил, ядерной, республику",3,2026-03-05 00:00:00+00:00
4,"выборы, левых, выборах, выборов, опасения",1,2026-03-05 00:00:00+00:00
6,"готовности, готовы, украина, мирным, украины",2,2026-03-05 00:00:00+00:00
8,"военнослужащих, военнослужащие, войска, войск, военного",7,2026-03-05 00:00:00+00:00
9,"заместителя, министр внутренних, внутренних дел, назначен, замминистра",5,2026-03-05 00:00:00+00:00
21,"указом, отставке, указа, подписал указ, кремля",1,2026-03-05 00:00:00+00:00
22,"задержали, задержан, ареста, террористов, антироссийские",3,2026-03-05 00:00:00+00:00
24,"крыму, крым, крыма, проголосовали, ветераны",14,2026-03-05 00:00:00+00:00
28,"борту, флота, кораблей, судна, флот",9,2026-03-05 00:00:00+00:00
29,"родился, день, 24, сергей, русский",1,2026-03-05 00:00:00+00:00
30,"запретили, запретил, санкции против, официально, борту",5,2026-03-05 00:00:00+00:00
-1,"говорит, конфликта, кремля, переговоров, переговоры",633,2026-04-04 00:00:00+00:00
0,"американцы, иран, главное, снова, нужно",418,2026-04-04 00:00:00+00:00
1,"властями, американцами, говорится, готовы, готов",8,2026-04-04 00:00:00+00:00
4,"отставку, конституцию, коррупции, ситуацию, политикой",2,2026-04-04 00:00:00+00:00
5,"снижение, плохо, негативно, россиян, обстановку",2,2026-04-04 00:00:00+00:00
6,"кремля, кремле, кремль, прекращении, объявил",47,2026-04-04 00:00:00+00:00
8,"обороны, великой отечественной, главнокомандующего, отмечают, армии",3,2026-04-04 00:00:00+00:00
18,"самолета, самолет, инцидент, произошел, произошедшего",2,2026-04-04 00:00:00+00:00
22,"задержан, ареста, терроризма, задержали, митинги",1,2026-04-04 00:00:00+00:00
26,"мире, человек, протесты, победит, иной",2,2026-04-04 00:00:00+00:00
28,"беспилотников, дронов, дроны, украинских, проводят",3,2026-04-04 00:00:00+00:00
